1m	2m	3m	4m	5m	10m	15m	25m	30m
-0.13	-0.22	-0.12	-0.14	-0.16	-0.08	-0.01	0.03	-0.16
-0.12	-0.21	-0.11	-0.14	-0.15	-0.09	0.02	0.01	-0.17
-0.12	-0.20	-0.11	-0.14	-0.13	-0.08	0.02	-0.02	-0.13
-0.11	-0.20	-0.11	-0.13	-0.13	-0.12	0.03	0.00	-0.14
-0.11	-0.20	-0.10	-0.13	-0.12	-0.08	0.03	0.02	-0.14
-0.11	-0.20	-0.10	-0.12	-0.12	-0.07	0.03	0.00	-0.10
-0.10	-0.20	-0.10	-0.12	-0.12	-0.09	0.05	0.01	-0.13
-0.10	-0.20	-0.10	-0.12	-0.12	-0.08	0.03	0.02	-0.14
-0.10	-0.19	-0.10	-0.11	-0.12	-0.09	-0.01	-0.01	-0.11
-0.10	-0.19	-0.10	-0.11	-0.12	-0.06	0.03	0.03	-0.14
-0.10	-0.19	-0.10	-0.11	-0.12	-0.14	0.00	0.02	-0.17
-0.10	-0.19	-0.10	-0.11	-0.11	-0.09	0.01	-0.03	-0.17
-0.10	-0.19	-0.10	-0.11	-0.11	-0.05	0.01	0.02	-0.09
-0.10	-0.19	-0.10	-0.11	-0.11	-0.10	0.02	0.00	-0.12
-0.10	-0.19	-0.10	-0.11	-0.11	-0.08	0.03	0.00	-0.13
-0.10	-0.19	-0.10	-0.11	-0.11	-0.06	0.01	-0.01	-0.10
-0.10	-0.19	-0.10	-0.10	-0.11	-0.08	0.01	0.01	-0.10
-0.09	-0.18	-0.10	-0.10	-0.11	-0.05	0.01	0.01	-0.16
-0.09	-0.18	-0.10	-0.10	-0.10	-0.04	0.02	0.03	-0.17
-0.09	-0.18	-0.10	-0.10	-0.10	-0.07	0.02	0.01	-0.11
-0.09	-0.18	-0.10	-0.10	-0.10	-0.12	0.04	-0.07	-0.11
-0.09	-0.18	-0.10	-0.10	-0.10	-0.07	0.01	0.00	-0.17
-0.09	-0.18	-0.10	-0.10	-0.10	-0.08	0.04	0.05	-0.13
-0.09	-0.18	-0.10	-0.10	-0.10	-0.12	0.00	0.02	-0.14
-0.09	-0.18	-0.10	-0.09	-0.10	-0.10	0.06	-0.04	-0.14
-0.09	-0.18	-0.10	-0.09	-0.10	-0.10	0.05	0.03	-0.13
-0.09	-0.18	-0.10	-0.09	-0.10	-0.10	0.01	-0.02	-0.15
-0.09	-0.18	-0.10	-0.09	-0.10	-0.10	0.04	0.01	-0.10
-0.09	-0.18	-0.10	-0.09	-0.10	-0.09	0.01	-0.01	-0.17
-0.09	-0.18	-0.10	-0.09	-0.09	-0.08	0.00	-0.01	-0.14
-0.09	-0.18	-0.10	-0.09	-0.09	-0.10	0.00	0.01	-0.13
-0.09	-0.18	-0.10	-0.09	-0.09	-0.09	-0.04	0.00	-0.17
-0.09	-0.18	-0.10	-0.09	-0.09	-0.09	0.01	0.03	-0.16
-0.09	-0.18	-0.09	-0.09	-0.09	-0.07	0.04	0.01	-0.11
-0.09	-0.18	-0.09	-0.09	-0.09	-0.04	0.04	-0.04	-0.15
-0.09	-0.18	-0.09	-0.09	-0.09	-0.07	0.05	0.03	-0.12
-0.09	-0.18	-0.09	-0.09	-0.09	-0.08	-0.01	0.03	-0.20
-0.09	-0.18	-0.09	-0.09	-0.09	-0.07	-0.02	0.03	-0.13
-0.09	-0.18	-0.09	-0.09	-0.09	-0.08	0.04	-0.02	-0.16
-0.09	-0.18	-0.09	-0.09	-0.09	-0.09	0.00	0.02	-0.13
-0.09	-0.18	-0.09	-0.09	-0.09	-0.09	-0.01	-0.02	-0.10
-0.09	-0.18	-0.09	-0.09	-0.09	-0.10	0.03	0.00	-0.10
-0.09	-0.18	-0.09	-0.09	-0.09	-0.06	0.03	-0.01	-0.13
-0.09	-0.18	-0.09	-0.09	-0.09	-0.08	-0.02	0.03	-0.10
-0.09	-0.17	-0.09	-0.09	-0.09	-0.05	0.00	0.02	-0.16
-0.09	-0.17	-0.09	-0.09	-0.09	-0.09	0.03	0.05	-0.11
-0.09	-0.17	-0.09	-0.09	-0.09	-0.09	0.00	-0.01	-0.19
-0.09	-0.17	-0.09	-0.09	-0.09	-0.08	0.01	0.02	-0.13
-0.09	-0.17	-0.09	-0.09	-0.09	-0.11	0.01	0.02	-0.09
-0.09	-0.17	-0.09	-0.09	-0.09	-0.08	0.00	-0.01	-0.16
-0.09	-0.17	-0.09	-0.09	-0.09	-0.06	0.00	0.01	-0.18
-0.09	-0.17	-0.09	-0.09	-0.09	-0.09	0.05	0.03	-0.14
-0.09	-0.17	-0.09	-0.09	-0.09	-0.06	0.05	0.00	-0.11
-0.09	-0.17	-0.09	-0.09	-0.09	-0.08	0.04	0.00	-0.14
-0.08	-0.17	-0.09	-0.09	-0.09	-0.09	0.00	-0.01	-0.17
-0.08	-0.17	-0.09	-0.08	-0.09	-0.09	0.04	0.00	-0.16
-0.08	-0.17	-0.09	-0.08	-0.09	-0.09	0.03	0.00	-0.11
-0.08	-0.17	-0.09	-0.08	-0.09	-0.10	0.03	-0.04	-0.16
-0.08	-0.17	-0.09	-0.08	-0.09	-0.08	0.04	0.07	-0.09
-0.08	-0.17	-0.09	-0.08	-0.09	-0.08	0.04	0.04	-0.12
-0.08	-0.17	-0.09	-0.08	-0.09	-0.09	0.04	0.05	-0.11
-0.08	-0.16	-0.09	-0.08	-0.09	-0.08	0.05	0.01	-0.12
-0.08	-0.16	-0.09	-0.08	-0.08	-0.09	0.03	-0.01	-0.14
-0.08	-0.16	-0.09	-0.08	-0.08	-0.07	0.01	-0.01	-0.09
-0.08	-0.16	-0.09	-0.08	-0.08	-0.05	0.05	-0.01	-0.11
-0.08	-0.16	-0.09	-0.08	-0.08	-0.09	0.00	0.01	-0.13
-0.08	-0.16	-0.09	-0.08	-0.08	-0.08	0.06	0.02	-0.14
-0.08	-0.16	-0.09	-0.08	-0.08	-0.07	0.03	0.00	-0.16
-0.08	-0.16	-0.09	-0.08	-0.08	-0.08	0.04	0.00	-0.16
