1m;2m;3m;4m;5m;10m;15m;20m;25m;30m
0.87;1.78;2.88;3.86;4.84;9.92;14.99;20.81;25.03;29.84
0.88;1.79;2.89;3.86;4.85;9.91;15.02;20.91;25.01;29.83
0.88;1.80;2.89;3.86;4.87;9.92;15.02;20.60;24.98;29.87
0.89;1.80;2.89;3.87;4.87;9.88;15.03;20.60;25.00;29.86
0.89;1.80;2.90;3.87;4.88;9.92;15.03;20.90;25.02;29.86
0.89;1.80;2.90;3.88;4.88;9.93;15.03;20.89;25.00;29.90
0.90;1.80;2.90;3.88;4.88;9.91;15.05;20.90;25.01;29.87
0.90;1.80;2.90;3.88;4.88;9.92;15.03;20.81;25.02;29.86
0.90;1.81;2.90;3.89;4.88;9.91;14.99;20.92;24.99;29.89
0.90;1.81;2.90;3.89;4.88;9.94;15.03;20.93;25.03;29.86
0.90;1.81;2.90;3.89;4.88;9.86;15.00;20.62;25.02;29.83
0.90;1.81;2.90;3.89;4.89;9.91;15.01;20.14;24.97;29.83
0.90;1.81;2.90;3.89;4.89;9.95;15.01;20.90;25.02;29.91
0.90;1.81;2.90;3.89;4.89;9.90;15.02;20.94;25.00;29.88
0.90;1.81;2.90;3.89;4.89;9.92;15.03;20.89;25.00;29.87
0.90;1.81;2.90;3.89;4.89;9.94;15.01;20.66;24.99;29.90
0.90;1.81;2.90;3.90;4.89;9.92;15.01;20.91;25.01;29.90
0.91;1.82;2.90;3.90;4.89;9.95;15.01;20.90;25.01;29.84
0.91;1.82;2.90;3.90;4.90;9.96;15.02;20.91;25.03;29.83
0.91;1.82;2.90;3.90;4.90;9.93;15.02;20.93;25.01;29.89
0.91;1.82;2.90;3.90;4.90;9.88;15.04;20.91;24.93;29.89
0.91;1.82;2.90;3.90;4.90;9.93;15.01;20.93;25.00;29.83
0.91;1.82;2.90;3.90;4.90;9.92;15.04;20.64;25.05;29.87
0.91;1.82;2.90;3.90;4.90;9.88;15.00;20.88;25.02;29.86
0.91;1.82;2.90;3.91;4.90;9.90;15.06;20.92;24.96;29.86
0.91;1.82;2.90;3.91;4.90;9.90;15.05;20.64;25.03;29.87
0.91;1.82;2.90;3.91;4.90;9.90;15.01;20.90;24.98;29.85
0.91;1.82;2.90;3.91;4.90;9.90;15.04;20.64;25.01;29.90
0.91;1.82;2.90;3.91;4.90;9.91;15.01;20.91;24.99;29.83
0.91;1.82;2.90;3.91;4.91;9.92;15.00;20.89;24.99;29.86
0.91;1.82;2.90;3.91;4.91;9.90;15.00;20.37;25.01;29.87
