1m,2m,3m,4m,5m,10m,15m,25m,30m
-0.13,-0.22,-0.12,-0.14,-0.16,-0.0800000000000001,-0.00999999999999979,0.0300000000000011,-0.16
-0.12,-0.21,-0.11,-0.14,-0.15,-0.0899999999999999,0.0199999999999996,0.0100000000000016,-0.170000000000002
-0.12,-0.2,-0.11,-0.14,-0.13,-0.0800000000000001,0.0199999999999996,-0.0199999999999996,-0.129999999999999
-0.11,-0.2,-0.11,-0.13,-0.13,-0.119999999999999,0.0299999999999994,0,-0.140000000000001
-0.11,-0.2,-0.1,-0.13,-0.12,-0.0800000000000001,0.0299999999999994,0.0199999999999996,-0.140000000000001
-0.11,-0.2,-0.1,-0.12,-0.12,-0.0700000000000003,0.0299999999999994,0,-0.100000000000001
-0.1,-0.2,-0.1,-0.12,-0.12,-0.0899999999999999,0.0500000000000007,0.0100000000000016,-0.129999999999999
-0.1,-0.2,-0.1,-0.12,-0.12,-0.0800000000000001,0.0299999999999994,0.0199999999999996,-0.140000000000001
-0.1,-0.19,-0.1,-0.11,-0.12,-0.0899999999999999,-0.00999999999999979,-0.0100000000000016,-0.109999999999999
-0.1,-0.19,-0.1,-0.11,-0.12,-0.0600000000000005,0.0299999999999994,0.0300000000000011,-0.140000000000001
-0.1,-0.19,-0.1,-0.11,-0.12,-0.140000000000001,0,0.0199999999999996,-0.170000000000002
-0.1,-0.19,-0.1,-0.11,-0.11,-0.0899999999999999,0.00999999999999979,-0.0300000000000011,-0.170000000000002
-0.1,-0.19,-0.1,-0.11,-0.11,-0.0500000000000007,0.00999999999999979,0.0199999999999996,-0.0899999999999999
-0.1,-0.19,-0.1,-0.11,-0.11,-0.0999999999999996,0.0199999999999996,0,-0.120000000000001
-0.1,-0.19,-0.1,-0.11,-0.11,-0.0800000000000001,0.0299999999999994,0,-0.129999999999999
-0.1,-0.19,-0.1,-0.11,-0.11,-0.0600000000000005,0.00999999999999979,-0.0100000000000016,-0.100000000000001
-0.1,-0.19,-0.1,-0.1,-0.11,-0.0800000000000001,0.00999999999999979,0.0100000000000016,-0.100000000000001
-0.09,-0.18,-0.1,-0.1,-0.11,-0.0500000000000007,0.00999999999999979,0.0100000000000016,-0.16
-0.09,-0.18,-0.1,-0.1,-0.0999999999999996,-0.0399999999999991,0.0199999999999996,0.0300000000000011,-0.170000000000002
-0.09,-0.18,-0.1,-0.1,-0.0999999999999996,-0.0700000000000003,0.0199999999999996,0.0100000000000016,-0.109999999999999
-0.09,-0.18,-0.1,-0.1,-0.0999999999999996,-0.119999999999999,0.0399999999999991,-0.0700000000000003,-0.109999999999999
-0.09,-0.18,-0.1,-0.1,-0.0999999999999996,-0.0700000000000003,0.00999999999999979,0,-0.170000000000002
-0.09,-0.18,-0.1,-0.1,-0.0999999999999996,-0.0800000000000001,0.0399999999999991,0.0500000000000007,-0.129999999999999
-0.09,-0.18,-0.1,-0.1,-0.0999999999999996,-0.119999999999999,0,0.0199999999999996,-0.140000000000001
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0999999999999996,-0.0999999999999996,0.0600000000000005,-0.0399999999999991,-0.140000000000001
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0999999999999996,-0.0999999999999996,0.0500000000000007,0.0300000000000011,-0.129999999999999
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0999999999999996,-0.0999999999999996,0.00999999999999979,-0.0199999999999996,-0.149999999999999
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0999999999999996,-0.0999999999999996,0.0399999999999991,0.0100000000000016,-0.100000000000001
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0999999999999996,-0.0899999999999999,0.00999999999999979,-0.0100000000000016,-0.170000000000002
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,0,-0.0100000000000016,-0.140000000000001
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0899999999999999,-0.0999999999999996,0,0.0100000000000016,-0.129999999999999
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0399999999999991,0,-0.170000000000002
-0.09,-0.18,-0.1,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,0.00999999999999979,0.0300000000000011,-0.16
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0700000000000003,0.0399999999999991,0.0100000000000016,-0.109999999999999
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0399999999999991,0.0399999999999991,-0.0399999999999991,-0.149999999999999
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0700000000000003,0.0500000000000007,0.0300000000000011,-0.120000000000001
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,-0.00999999999999979,0.0300000000000011,-0.199999999999999
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0700000000000003,-0.0199999999999996,0.0300000000000011,-0.129999999999999
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,0.0399999999999991,-0.0199999999999996,-0.16
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,0,0.0199999999999996,-0.129999999999999
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.00999999999999979,-0.0199999999999996,-0.100000000000001
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0999999999999996,0.0299999999999994,0,-0.100000000000001
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0600000000000005,0.0299999999999994,-0.0100000000000016,-0.129999999999999
-0.09,-0.18,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,-0.0199999999999996,0.0300000000000011,-0.100000000000001
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0500000000000007,0,0.0199999999999996,-0.16
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,0.0299999999999994,0.0500000000000007,-0.109999999999999
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,0,-0.0100000000000016,-0.190000000000001
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,0.00999999999999979,0.0199999999999996,-0.129999999999999
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.109999999999999,0.00999999999999979,0.0199999999999996,-0.0899999999999999
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,0,-0.0100000000000016,-0.16
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0600000000000005,0,0.0100000000000016,-0.18
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,0.0500000000000007,0.0300000000000011,-0.140000000000001
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0600000000000005,0.0500000000000007,0,-0.109999999999999
-0.09,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0800000000000001,0.0399999999999991,0,-0.140000000000001
-0.08,-0.17,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,-0.0899999999999999,0,-0.0100000000000016,-0.170000000000002
-0.08,-0.17,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0899999999999999,0.0399999999999991,0,-0.16
-0.08,-0.17,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0899999999999999,0.0299999999999994,0,-0.109999999999999
-0.08,-0.17,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0999999999999996,0.0299999999999994,-0.0399999999999991,-0.16
-0.08,-0.17,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0800000000000001,0.0399999999999991,0.0700000000000003,-0.0899999999999999
-0.08,-0.17,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0800000000000001,0.0399999999999991,0.0399999999999991,-0.120000000000001
-0.08,-0.17,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0899999999999999,0.0399999999999991,0.0500000000000007,-0.109999999999999
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0899999999999999,-0.0800000000000001,0.0500000000000007,0.0100000000000016,-0.120000000000001
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0899999999999999,0.0299999999999994,-0.0100000000000016,-0.140000000000001
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0700000000000003,0.00999999999999979,-0.0100000000000016,-0.0899999999999999
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0500000000000007,0.0500000000000007,-0.0100000000000016,-0.109999999999999
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0899999999999999,0,0.0100000000000016,-0.129999999999999
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.0600000000000005,0.0199999999999996,-0.140000000000001
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0700000000000003,0.0299999999999994,0,-0.16
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.0399999999999991,0,-0.16
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.119999999999999,0.0500000000000007,0.0500000000000007,-0.129999999999999
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0399999999999991,0.00999999999999979,0.0599999999999987,-0.100000000000001
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.00999999999999979,-0.0399999999999991,-0.149999999999999
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.119999999999999,-0.00999999999999979,-0.0100000000000016,-0.120000000000001
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0999999999999996,0.00999999999999979,0.0399999999999991,-0.170000000000002
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0600000000000005,0.0299999999999994,0.0500000000000007,-0.140000000000001
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0700000000000003,0.0500000000000007,0.0199999999999996,-0.16
-0.08,-0.16,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0,0.0100000000000016,-0.100000000000001
-0.08,-0.15,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.0600000000000005,-0.0100000000000016,-0.100000000000001
-0.08,-0.15,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0899999999999999,-0.00999999999999979,0,-0.149999999999999
-0.08,-0.15,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0999999999999996,-0.00999999999999979,0.0100000000000016,-0.16
-0.08,-0.15,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.0399999999999991,0.0199999999999996,-0.100000000000001
-0.08,-0.15,-0.0899999999999999,-0.0800000000000001,-0.0800000000000001,-0.0700000000000003,0.0199999999999996,-0.0300000000000011,-0.100000000000001
-0.08,-0.15,-0.0899999999999999,-0.0699999999999998,-0.0800000000000001,-0.119999999999999,0.0500000000000007,-0.0100000000000016,-0.0899999999999999
-0.08,-0.15,-0.0899999999999999,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,-0.00999999999999979,-0.0300000000000011,-0.16
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.0399999999999991,0,-0.140000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.0399999999999991,-0.0100000000000016,-0.0899999999999999
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0700000000000003,-0.0199999999999996,0,-0.140000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.00999999999999979,-0.0100000000000016,-0.149999999999999
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.00999999999999979,0,-0.16
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0199999999999996,0,-0.129999999999999
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0700000000000003,0.0600000000000005,-0.0199999999999996,-0.120000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0600000000000005,0,-0.0199999999999996,-0.190000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0399999999999991,0,-0.100000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.109999999999999,0.00999999999999979,0.0300000000000011,-0.120000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0700000000000003,0.0100000000000016,-0.140000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.109999999999999,-0.0199999999999996,0.0100000000000016,-0.0899999999999999
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.00999999999999979,0,-0.109999999999999
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0700000000000003,0.0199999999999996,-0.0199999999999996,-0.100000000000001
-0.08,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0199999999999996,0.0300000000000011,-0.149999999999999
-0.07,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.00999999999999979,0,-0.120000000000001
-0.07,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0800000000000001,0.00999999999999979,0.0199999999999996,-0.109999999999999
-0.07,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0399999999999991,-0.0199999999999996,-0.16
-0.07,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0700000000000003,0,0,-0.16
-0.07,-0.15,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.109999999999999,0.0700000000000003,-0.0100000000000016,-0.170000000000002
-0.07,-0.14,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0999999999999996,0.00999999999999979,-0.0399999999999991,-0.109999999999999
-0.07,-0.14,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0,0,-0.109999999999999
-0.07,-0.14,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0399999999999991,0.0399999999999991,-0.16
-0.07,-0.14,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0500000000000007,0,0,-0.16
-0.07,-0.14,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0899999999999999,0.0700000000000003,0.0300000000000011,-0.149999999999999
-0.07,-0.14,-0.0800000000000001,-0.0699999999999998,-0.0800000000000001,-0.0600000000000005,-0.0299999999999994,0.0399999999999991,-0.149999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0700000000000003,0.0399999999999991,0.0599999999999987,-0.149999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0199999999999996,0.0300000000000011,-0.100000000000001
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0199999999999996,-0.0199999999999996,-0.140000000000001
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0700000000000003,0.0199999999999996,0.0399999999999991,-0.16
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0999999999999996,0,-0.0399999999999991,-0.199999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0199999999999996,0.0100000000000016,-0.149999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0999999999999996,0.0600000000000005,0.0100000000000016,-0.129999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0999999999999996,0.0399999999999991,0,-0.129999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0999999999999996,0.0199999999999996,0.0300000000000011,-0.109999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.109999999999999,0.0399999999999991,0.0100000000000016,-0.100000000000001
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0999999999999996,0.00999999999999979,-0.0100000000000016,-0.129999999999999
-0.07,-0.14,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0700000000000003,0.0399999999999991,-0.0199999999999996,-0.190000000000001
-0.07,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.00999999999999979,0,-0.100000000000001
-0.07,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0600000000000005,0.0399999999999991,0,-0.109999999999999
-0.07,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0299999999999994,-0.0100000000000016,-0.149999999999999
-0.07,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.00999999999999979,0.0100000000000016,-0.149999999999999
-0.07,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,-0.00999999999999979,0,-0.120000000000001
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.109999999999999,0.0299999999999994,-0.0300000000000011,-0.16
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,-0.0199999999999996,0,-0.100000000000001
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0999999999999996,0.0299999999999994,0.0399999999999991,-0.0899999999999999
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0399999999999991,0.0199999999999996,-0.16
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0399999999999991,-0.0100000000000016,-0.0899999999999999
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.109999999999999,0.0700000000000003,0.0199999999999996,-0.16
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0700000000000003,-0.00999999999999979,-0.0300000000000011,-0.16
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0700000000000003,0.00999999999999979,-0.0100000000000016,-0.109999999999999
-0.0600000000000001,-0.13,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.119999999999999,-0.00999999999999979,0.0399999999999991,-0.129999999999999
-0.0600000000000001,-0.12,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0600000000000005,0.0199999999999996,0.0100000000000016,-0.120000000000001
-0.0600000000000001,-0.12,-0.0800000000000001,-0.0600000000000001,-0.0700000000000003,-0.0800000000000001,0.0299999999999994,0.0300000000000011,-0.0799999999999983
-0.0600000000000001,-0.12,-0.0800000000000001,-0.0499999999999998,-0.0599999999999996,-0.0600000000000005,0.0700000000000003,0.0100000000000016,-0.109999999999999
-0.0600000000000001,-0.12,-0.0800000000000001,-0.0499999999999998,-0.0599999999999996,-0.0800000000000001,0.0299999999999994,0.0100000000000016,-0.0899999999999999
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.109999999999999,0.00999999999999979,0.0300000000000011,-0.140000000000001
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0800000000000001,0.0299999999999994,-0.0100000000000016,-0.149999999999999
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.130000000000001,0.0399999999999991,0,-0.109999999999999
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0999999999999996,0.00999999999999979,0.0399999999999991,-0.149999999999999
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0899999999999999,0.0199999999999996,-0.0100000000000016,-0.190000000000001
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0600000000000005,0.00999999999999979,-0.0199999999999996,-0.170000000000002
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0899999999999999,0.0700000000000003,0.0300000000000011,-0.109999999999999
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0800000000000001,-0.0199999999999996,0.0300000000000011,-0.0899999999999999
-0.0600000000000001,-0.12,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0800000000000001,0.00999999999999979,-0.0300000000000011,-0.149999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.130000000000001,0.0600000000000005,0.0100000000000016,-0.129999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0899999999999999,0.0299999999999994,-0.0399999999999991,-0.109999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.130000000000001,0.0199999999999996,-0.0199999999999996,-0.199999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0999999999999996,-0.0199999999999996,0.0100000000000016,-0.129999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0600000000000005,-0.0199999999999996,-0.0100000000000016,-0.109999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.109999999999999,0,-0.0100000000000016,-0.140000000000001
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0700000000000003,0.0600000000000005,0.0100000000000016,-0.129999999999999
-0.0600000000000001,-0.11,-0.0699999999999998,-0.0499999999999998,-0.0599999999999996,-0.0999999999999996,-0.00999999999999979,-0.0100000000000016,-0.0799999999999983
-0.0600000000000001,-0.1,-0.0699999999999998,-0.04,-0.0599999999999996,-0.0800000000000001,0.0700000000000003,0.0100000000000016,-0.100000000000001
-0.0600000000000001,-0.1,-0.0699999999999998,-0.04,-0.0599999999999996,-0.119999999999999,0.0600000000000005,-0.0100000000000016,-0.120000000000001
-0.0600000000000001,-0.0900000000000001,-0.0699999999999998,-0.04,-0.0599999999999996,-0.0999999999999996,0.0500000000000007,0.0199999999999996,-0.0899999999999999
-0.05,-0.0900000000000001,-0.0699999999999998,-0.04,-0.0599999999999996,-0.0899999999999999,0.0299999999999994,0.0399999999999991,-0.120000000000001
-0.05,NaN,-0.0699999999999998,-0.0299999999999998,-0.0599999999999996,-0.0899999999999999,NaN,0.0399999999999991,-0.16
